
Random Forest
Accuracy: 0.8488063660477454
Execution time: 234.30102467536926 seconds
Classification Report:
              precision    recall  f1-score   support

           0       0.85      0.81      0.83       151
           1       0.69      0.79      0.73       202
           2       0.74      0.84      0.78       195
           3       0.65      0.70      0.68       183
           4       0.87      0.81      0.84       205
           5       0.87      0.79      0.83       215
           6       0.72      0.82      0.77       193
           7       0.90      0.88      0.89       196
           8       0.97      0.93      0.95       168
           9       0.93      0.94      0.94       211
          10       0.93      0.95      0.94       198
          11       0.96      0.96      0.96       201
          12       0.85      0.69      0.77       202
          13       0.89      0.87      0.88       194
          14       0.90      0.96      0.93       189
          15       0.78      0.98      0.87       202
          16       0.85      0.93      0.89       188
          17       0.97      0.96      0.96       182
          18       0.93      0.74      0.83       159
          19       0.89      0.49      0.63       136

    accuracy                           0.85      3770
   macro avg       0.86      0.84      0.84      3770
weighted avg       0.86      0.85      0.85      3770
